movieInfo,title,star,quote
导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...,肖申克的救赎 / TheShawshankRedemption / 月黑高飞(港)/刺激1995(台),9.6,"""希望让人自由。"""
导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔丽·波特曼...,这个杀手不太冷 / Léon / 杀手莱昂/终极追杀令(台),9.4,"""怪蜀黍和小萝莉不得不说的故事。"""
导演:RobertZemeckis   主演:TomHanks/RobinWrightPenn/GarySinise,阿甘正传 / ForrestGump / 福雷斯特·冈普,9.4,"""一部美国近现代史。"""
导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...,霸王别姬 / 再见，我的妾/FarewellMyConcubine,9.4,"""风华绝代。"""
导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...,美丽人生 / Lavitaèbella / 一个快乐的传说(港)/LifeIsBeautiful,9.5,"""最美的谎言。"""
导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...,千与千寻 / 千と千尋の神隠し / 神隐少女(台)/SpiritedAway,9.2,"""最好的宫崎骏，最好的久石让。 """
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...,辛德勒的名单 / Schindler'sList / 舒特拉的名单(港)/辛德勒名单,9.4,"""拯救一个人，就是拯救整个世界。"""
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...,海上钢琴师 / Laleggendadelpianistasull'oceano / 声光伴我飞(台)/一九零零的传奇(港),9.2,"""每个人都要走一条自己坚定了的路，就算是粉身碎骨。 """
导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...,机器人总动员 / WALL·E / 瓦力(台)/太空奇兵·威E(港),9.3,"""小瓦力，大人生。"""
导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...,盗梦空间 / Inception / 潜行凶间(港)/全面启动(台),9.2,"""诺兰给了我们一场无法盗取的梦。"""
导演:JamesCameron   主演:LeonardoDiCaprio/KateWinslet/BillyZane,泰坦尼克号 / Titanic / 铁达尼号(港/台),9.1,"""失去的才是永恒的。 """
导演:拉库马·希拉尼RajkumarHirani   主演:阿米尔·汗AamirKhan/卡...,三傻大闹宝莱坞 / 3Idiots / 三个傻瓜(台)/作死不离3兄弟(港),9.1,"""英俊版憨豆，高情商版谢耳朵。"""
导演:克里斯托夫·巴拉蒂ChristopheBarratier   主演:杰拉尔·朱诺Géra...,放牛班的春天 / Leschoristes / 歌声伴我心(港)/唱诗班男孩,9.2,"""天籁一般的童声，是最接近上帝的存在。 """
导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...,忠犬八公的故事 / Hachi:ADog'sTale / 忠犬小八(台)/秋田犬八千(港),9.2,"""永远都不能忘记你所爱的人。"""
导演:宫崎骏HayaoMiyazaki   主演:日高法子NorikoHidaka/坂本千夏Ch...,龙猫 / となりのトトロ / 邻家的豆豆龙/隔壁的特特罗,9.1,"""人人心中都有个龙猫，童年就永远不会消失。"""
导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘/齐天大圣西游记,9.1,"""一生所爱。"""
导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:马龙·白兰度M...,教父 / TheGodfather / MarioPuzo'sTheGodfather/教父,9.2,"""千万不要记恨你的对手，这样会让你失去理智。"""
导演:VictorFleming/GeorgeCukor   主演:克拉克·盖博ClarkGable/...,乱世佳人 / GonewiththeWind / 飘,9.2,"""Tomorrow is another day."""
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:安东娜拉·塔莉Antonel...,天堂电影院 / NuovoCinemaParadiso / 星光伴我心(台)/新天堂乐园(港),9.1,"""那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。"""
导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...,当幸福来敲门 / ThePursuitofHappyness / 寻找快乐的故事(港)/追求快乐,8.9,"""平民励志片。 """
导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...,搏击俱乐部 / FightClub / 搏击会(港)/斗阵俱乐部(台),9.0,"""邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。"""
导演:彼得·威尔PeterWeir   主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...,楚门的世界 / TheTrumanShow / 真人Show(港)/真人戏,9.0,"""如果再也不能见到你，祝你早安，午安，晚安。"""
导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...,触不可及 / Intouchables / 闪亮人生(港)/逆转人生(台),9.1,"""满满温情的高雅喜剧。"""
导演:彼得·杰克逊PeterJackson   主演:维果·莫腾森ViggoMortensen/...,指环王3：王者无敌 / TheLordoftheRings:TheReturnoftheKing / 魔戒三部曲：王者再临/指环王III：王者无敌,9.1,"""史诗的终章。"""
导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...,罗马假日 / RomanHoliday / 金枝玉叶(港)/罗马假期(台),8.9,"""爱情哪怕只有一天。"""
